movieId,user_weighted_rating,title,genres,year,rtAllCriticsRating,rtAllCriticsNumReviews
6987,3.7051063803525803,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das) (1920)",Crime|Fantasy|Horror,1920,4.45,34
3310,3.65960525990977,"Kid, The (1921)",Comedy|Drama,1921,3.45,41
1348,3.8078519205524293,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror,1922,4.45,47
6986,3.4815024192753237,Ben-Hur: A Tale of the Christ (1925),Adventure|Drama,1925,3.9,33
3022,3.9737885444430434,"General, The (1926)",Comedy|War,1926,4.45,38
2010,3.9186626233893973,Metropolis (1927),Drama|Sci-Fi,1927,4.45,98
6985,3.6760574581507193,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La) (1928)",Drama,1928,4.45,31
1927,3.8218064500202744,All Quiet on the Western Front (1930),Action|Drama|War,1930,4.3,32
4970,3.6490687187301547,"Blue Angel, The (Blaue Engel, Der) (1930)",Drama,1930,4.15,32
2644,3.6229992210811384,Dracula (1931),Horror,1931,3.85,42
8228,3.909240178706648,"Maltese Falcon, The (a.k.a. Dangerous Female) (1931)",Mystery,1931,4.5,40
1260,4.0811707512812445,M (1931),Crime|Film-Noir|Thriller,1931,4.5,40
2648,3.7655011642224427,Frankenstein (1931),Drama|Horror|Sci-Fi,1931,4.25,38
3307,4.005851922102441,City Lights (1931),Comedy|Drama|Romance,1931,4.5,37
25788,3.529984047099562,Scarface (1932),Crime|Drama,1932,3.75,50
2633,3.3004510577640285,"Mummy, The (1932)",Horror|Romance,1932,2.85,81
8507,3.6090909062502017,Freaks (1932),Crime|Drama|Horror,1932,4.15,41
1256,4.047553138089117,Duck Soup (1933),Comedy|Musical|War,1933,4.45,35
2366,3.520078573742507,King Kong (1933),Action|Adventure|Fantasy|Horror,1933,3.85,242
905,4.059372330286689,It Happened One Night (1934),Comedy|Romance,1934,4.35,32
945,3.881526715672844,Top Hat (1935),Comedy|Musical|Romance,1935,4.3,37
7132,3.8236790582499265,"Night at the Opera, A (1935)",Comedy|Musical|Romance,1935,4.25,33
965,3.8978176515671317,"39 Steps, The (1935)",Drama|Mystery|Thriller,1935,4.4,32
1340,3.632222627265782,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",Drama|Horror|Sci-Fi,1935,4.45,39
3462,4.02377126537402,Modern Times (1936),Comedy|Drama|Romance,1936,4.45,47
1066,3.765065271573291,Shall We Dance (1937),Comedy|Musical|Romance,1937,2.7,152
3134,3.9078796538026985,Grand Illusion (La grande illusion) (1937),Drama|War,1937,4.6,34
2208,3.909718099058921,"Lady Vanishes, The (1938)",Drama|Mystery|Thriller,1938,4.15,33
955,3.9669372833494725,Bringing Up Baby (1938),Comedy|Romance,1938,4.2,36
940,3.8085237648681103,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance,1938,4.45,43
6783,3.68807999605028,"Rules of the Game, The (La règle du jeu) (1939)",Comedy|Drama,1939,4.55,37
927,3.6613043442484425,"Women, The (1939)",Comedy,1939,1.95,142
920,3.7987446290992786,Gone with the Wind (1939),Drama|Romance|War,1939,4.35,62
919,3.9639632489063628,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical,1939,4.6,70
898,4.098136382191564,"Philadelphia Story, The (1940)",Comedy|Drama|Romance,1940,4.3,43
3095,3.9023957822383446,"Grapes of Wrath, The (1940)",Drama,1940,4.45,36
1282,3.7117335228311457,Fantasia (1940),Animation|Children|Fantasy|Musical,1940,4.25,42
1281,3.958385524254895,"Great Dictator, The (1940)",Comedy|Drama|War,1940,4.45,34
596,3.4858906787428734,Pinocchio (1940),Animation|Children|Fantasy|Musical,1940,4.5,37
928,4.0205939431410815,Rebecca (1940),Drama|Mystery|Romance|Thriller,1940,4.35,36
951,4.037164923912505,His Girl Friday (1940),Comedy|Romance,1940,4.3,36
941,3.4265292062287633,"Mark of Zorro, The (1940)",Adventure,1940,3.55,66
7579,3.4297010559911767,Pride and Prejudice (1940),Comedy|Drama|Romance,1940,3.85,164
923,4.10315749124783,Citizen Kane (1941),Drama|Mystery,1941,4.7,54
2654,3.4280231680397186,"Wolf Man, The (1941)",Drama|Fantasy|Horror,1941,3.85,31
2205,3.256441713464374,Mr. & Mrs. Smith (1941),Comedy|Romance,1941,3.0,202
1935,3.5979577430020075,How Green Was My Valley (1941),Drama|Musical|Romance,1941,3.9,34
1029,3.4741932065456407,Dumbo (1941),Animation|Children|Drama|Musical,1941,4.2,31
913,4.145531476990102,"Maltese Falcon, The (1941)",Film-Noir|Mystery,1941,4.5,40
2018,3.5042026550293732,Bambi (1942),Animation|Children|Drama,1942,4.0,38
912,4.235687552620341,Casablanca (1942),Drama|Romance,1942,4.5,58
946,3.7430460047926233,To Be or Not to Be (1942),Comedy|Drama|War,1942,4.35,34
3936,3.324472164167803,Phantom of the Opera (1943),Horror|Musical|Thriller,1943,2.5,165
3435,4.123423922178379,Double Indemnity (1944),Crime|Drama|Film-Noir,1944,4.35,43
942,3.955619227972891,Laura (1944),Crime|Film-Noir|Mystery,1944,4.3,45
1337,3.330427346207564,"Body Snatcher, The (1945)",Drama|Horror|Thriller,1945,4.45,36
1939,3.9044987125376394,"Best Years of Our Lives, The (1946)",Drama|War,1946,4.3,35
1284,4.118278320627443,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery,1946,4.3,43
930,4.099797495409214,Notorious (1946),Film-Noir|Romance|Thriller,1946,2.75,136
953,4.0323710912687085,It's a Wonderful Life (1946),Drama|Fantasy|Romance,1946,4.35,54
2398,3.6882642428663353,Miracle on 34th Street (1947),Comedy|Drama,1947,4.0,31
1254,4.070486294440823,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western,1948,4.5,38
3089,4.006538251509183,Bicycle Thieves (a.k.a. The Bicycle Thief) (a.k.a. The Bicycle Thieves) (Ladri di biciclette) (1948),Drama,1948,4.4,47
2176,3.8064765285391715,Rope (1948),Crime|Drama|Thriller,1948,3.9,31
1941,3.5270614655643553,Hamlet (1948),Drama,1948,4.1,54
2430,3.117938140936667,Mighty Joe Young (1949),Adventure|Children|Drama,1949,2.9,42
1212,4.167246991516327,"Third Man, The (1949)",Film-Noir|Mystery|Thriller,1949,4.55,57
926,4.103567404255135,All About Eve (1950),Drama,1950,4.5,54
922,4.176953735952007,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance,1950,4.6,52
3088,3.909745654762742,Harvey (1950),Comedy|Fantasy,1950,3.1,146
900,3.711463344201203,"American in Paris, An (1951)",Musical|Romance,1951,3.95,47
2186,4.0679342049987355,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller,1951,4.35,40
1104,3.944499417209379,"Streetcar Named Desire, A (1951)",Drama,1951,4.25,46
1253,3.875884005779383,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller,1951,4.0,50
1226,3.779080880537813,"Quiet Man, The (1952)",Drama|Romance,1952,4.0,34
1283,3.988715308778322,High Noon (1952),Drama|Western,1952,4.4,41
899,4.036673196665999,Singin' in the Rain (1952),Comedy|Musical|Romance,1952,4.6,44
7700,3.691089104837335,"Wages of Fear, The (Salaire de la peur, Le) (1953)",Action|Adventure|Drama|Thriller,1953,4.4,36
6643,3.642372876951696,Tokyo Story (Tôkyô monogatari) (1953),Drama,1953,4.8,34
2087,3.5329504943977366,Peter Pan (1953),Animation|Children|Fantasy|Musical,1953,3.4,132
4356,3.5531034456566846,Gentlemen Prefer Blondes (1953),Comedy|Musical|Romance,1953,3.9,34
3404,3.230676218120399,Titanic (1953),Action|Drama,1953,3.7,97
1944,3.8324905536364,From Here to Eternity (1953),Drama|Romance|War,1953,4.0,40
916,4.008450703461206,Roman Holiday (1953),Comedy|Drama|Romance,1953,4.1,43
2662,3.567035854151089,"War of the Worlds, The (1953)",Action|Drama|Sci-Fi,1953,3.5,244
1945,4.079687499196427,On the Waterfront (1954),Crime|Drama,1954,4.5,49
